Date,Close,High,Low,Open,Volume,EMA20,EMA60,EMASignal,Daily_Return,Return_20d,Return_60d,Return_120d,Cumulative_Return,RSI
2023-01-02,52343.4140625,52909.28880912162,52060.47668918919,52343.4140625,10031448,52343.4140625,52343.4140625,0,,,,,,
2023-01-03,52249.10546875,52814.98025722022,51400.293286044674,52249.10546875,13547030,52334.432291666664,52340.32197745902,-1,-0.18017279812392317,,,,-0.0018017279812392317,
2023-01-04,54512.59375,54701.21864186851,52437.71993944636,52532.03238538062,20188071,52541.876240079364,52411.54400278823,1,4.332109154679764,,,,0.04144131074274071,
2023-01-05,54889.85546875,55455.7302673969,54323.98067010309,54889.85546875,15682826,52765.493309476566,52492.80011642632,1,0.6920634165384909,,,,0.04864874505911021,
2023-01-06,55644.35546875,56021.605336334746,54606.91833289195,54984.1682004767,17334989,53039.6706579788,52596.12980010906,1,1.374570935843611,,,,0.0630631659277816,
2023-01-09,57247.66796875,57247.66796875,56210.23082269357,56304.543290516885,18640107,53440.432306623676,52748.63924826122,1,2.881356943563529,,,,0.09369381027370793,
2023-01-10,56964.72265625,57624.909839352236,56493.16038260554,56776.09774679222,14859797,53776.07900658809,52886.8714911461,1,-0.494247752859478,,,,0.08828825319326694,
2023-01-11,57059.03515625,57719.22233987603,56870.41024664256,57530.59743026859,12310751,54088.741497032075,53023.66374246098,1,0.16556299337946445,,,,0.0900900558018507,
2023-01-12,57059.03515625,57719.22233987603,56493.16042742768,57624.90988507231,16102561,54371.626607433784,53155.97100192947,1,0.0,,,,0.0900900558018507,
2023-01-13,57341.98046875,57719.23034025494,56964.73059724506,57059.043065121296,12510328,54654.51745136866,53293.21721395637,1,0.49588169818362005,,,,0.09549561288229169,
2023-01-16,57624.9140625,58096.476370703764,57341.97667757774,57813.5389857815,10039972,54937.4123667145,53435.2400614496,1,0.4934144084963954,,,,0.10090094608069888,
2023-01-17,57530.60546875,58002.16780865779,57153.35559682377,57719.23040471312,9831456,55184.38313833693,53569.51433709879,1,-0.16365940892807407,,,,0.09909921809945965,
2023-01-18,56964.72265625,57530.59738462335,56493.16038260554,57247.66002043667,11584041,55353.93928290008,53680.83264264473,1,-0.983620471033253,,,,0.08828825319326694,
